train_stratum,test_stratum,model,n_test,is_diagonal,f1_macro,precision,recall,roc_auc,pr_auc,balanced_acc,mcc,fpr_at_95tpr
I,I,LR,23288,True,0.9793,0.9216,1.0,1.0,0.9996,0.9994,0.9594,0.0
I,I,SVM,23288,True,0.9948,0.9941,0.9853,1.0,0.9998,0.9926,0.9895,0.0
I,I,RF,23288,True,0.9528,0.9829,0.8416,0.9997,0.9845,0.9207,0.9083,0.0018
I,I,XGB,23288,True,0.9905,0.9686,0.9941,1.0,0.9989,0.9968,0.981,0.0
I,I,LGB,23288,True,0.9933,0.9882,0.9853,1.0,0.9991,0.9926,0.9866,0.0
I,II,LR,1177,False,0.4045,0.6442,0.9672,0.8023,0.9096,0.4932,-0.0392,0.9205
I,II,SVM,1177,False,0.7422,0.8485,0.7572,0.8179,0.9172,0.7545,0.4924,0.9494
I,II,RF,1177,False,0.2607,0.0,0.0,0.7529,0.8581,0.5,0.0,0.8795
I,II,XGB,1177,False,0.4229,0.624,0.8123,0.2831,0.5434,0.4568,-0.1135,0.9663
I,II,LGB,1177,False,0.4058,0.6052,0.7362,0.3202,0.5555,0.4271,-0.1702,0.959
I,III,LR,2004,False,0.5719,0.5773,0.9645,0.9181,0.9374,0.6206,0.3336,0.6535
I,III,SVM,2004,False,0.7099,0.6626,0.9201,0.9087,0.9311,0.7202,0.4816,0.697
I,III,RF,2004,False,0.3656,0.8718,0.0335,0.8844,0.893,0.5142,0.1031,0.6747
I,III,XGB,2004,False,0.5898,0.5835,0.9132,0.7645,0.7988,0.6228,0.3024,0.7101
I,III,LGB,2004,False,0.5954,0.5866,0.9152,0.801,0.8401,0.6273,0.3122,0.7172
II,I,LR,23288,False,0.0824,0.0155,0.9853,0.6757,0.0591,0.5286,0.0268,0.8068
II,I,SVM,23288,False,0.0953,0.0158,0.9853,0.7245,0.0493,0.536,0.0309,0.7077
II,I,RF,23288,False,0.2249,0.0137,0.6833,0.3875,0.0112,0.4763,-0.0128,0.8462
II,I,XGB,23288,False,0.3205,0.0146,0.5543,0.5062,0.0146,0.4994,-0.0003,0.8597
II,I,LGB,23288,False,0.2655,0.0152,0.6921,0.4946,0.0136,0.514,0.0071,0.8487
II,II,LR,1177,True,0.9981,0.9987,0.9987,1.0,1.0,0.9981,0.9963,0.0
II,II,SVM,1177,True,0.9991,0.9987,1.0,1.0,1.0,0.9988,0.9981,0.0
II,II,RF,1177,True,0.9907,0.9883,0.9987,0.9992,0.9995,0.9885,0.9814,0.0024
II,II,XGB,1177,True,0.9944,0.9961,0.9961,0.9998,0.9999,0.9944,0.9888,0.0
II,II,LGB,1177,True,0.9944,0.9961,0.9961,0.9998,0.9999,0.9944,0.9888,0.0024
II,III,LR,2004,False,0.5026,0.5529,1.0,0.9333,0.9115,0.5859,0.3081,0.2343
II,III,SVM,2004,False,0.4887,0.5481,1.0,0.9358,0.9105,0.5778,0.292,0.2242
II,III,RF,2004,False,0.5482,0.57,1.0,0.9268,0.9041,0.6136,0.3599,0.2455
II,III,XGB,2004,False,0.4883,0.5479,0.999,0.8974,0.8804,0.5773,0.2893,0.3414
II,III,LGB,2004,False,0.5077,0.5547,1.0,0.8939,0.8751,0.5889,0.314,0.3313
III,I,LR,23288,False,0.7666,0.7526,0.4194,0.8182,0.52,0.7087,0.5572,0.9959
III,I,SVM,23288,False,0.7466,0.56,0.4516,0.8164,0.4754,0.7232,0.4963,0.9958
III,I,RF,23288,False,0.5079,0.0439,0.3314,0.7242,0.0738,0.612,0.0858,0.7562
III,I,XGB,23288,False,0.4277,0.0116,0.2199,0.5146,0.0298,0.4712,-0.0155,0.9047
III,I,LGB,23288,False,0.4499,0.0193,0.3079,0.6124,0.0317,0.5377,0.0214,0.8169
III,II,LR,1177,False,0.748,1.0,0.6115,0.9804,0.9912,0.8058,0.5975,0.053
III,II,SVM,1177,False,0.7713,1.0,0.6483,0.9805,0.9913,0.8241,0.6276,0.0554
III,II,RF,1177,False,0.6778,0.9948,0.5052,0.9713,0.982,0.7502,0.509,0.1157
III,II,XGB,1177,False,0.8076,0.9804,0.7218,0.9571,0.9743,0.8476,0.6651,0.1783
III,II,LGB,1177,False,0.8292,0.9862,0.752,0.9697,0.9821,0.8663,0.7002,0.1181
III,III,LR,2004,True,0.9895,0.994,0.9852,0.9993,0.9993,0.9896,0.9791,0.003
III,III,SVM,2004,True,0.99,0.9901,0.9901,0.9994,0.9995,0.99,0.98,0.002
III,III,RF,2004,True,0.9681,0.9657,0.9714,0.9968,0.997,0.968,0.9361,0.0202
III,III,XGB,2004,True,0.9855,0.9862,0.9852,0.9992,0.9992,0.9855,0.9711,0.001
III,III,LGB,2004,True,0.989,0.9911,0.9872,0.9995,0.9995,0.989,0.978,0.0
