stratum,model,split,n_samples,n_train,elapsed_train_s,latency_ms_per_email,f1_macro,precision,recall,roc_auc,pr_auc,balanced_acc,mcc,fpr_at_95tpr
I,LR,val,23287,108675,7.92,,0.9779,0.9167,1.0,1.0,0.9996,0.9993,0.9568,0.0
I,LR,test,23288,108675,7.92,,0.9793,0.9216,1.0,1.0,0.9996,0.9994,0.9594,0.0
I,SVM,val,23287,108675,11.21,,0.9978,0.9971,0.9941,1.0,0.9999,0.997,0.9955,0.0
I,SVM,test,23288,108675,11.21,,0.9948,0.9941,0.9853,1.0,0.9998,0.9926,0.9895,0.0
I,RF,val,23287,108675,9.35,,0.9723,0.9811,0.912,0.9998,0.99,0.9559,0.9452,0.0008
I,RF,test,23288,108675,9.35,,0.9528,0.9829,0.8416,0.9997,0.9845,0.9207,0.9083,0.0018
I,XGB,val,23287,108675,2463.58,,0.9941,0.9854,0.9912,1.0,0.9996,0.9955,0.9881,0.0
I,XGB,test,23288,108675,2463.58,,0.9905,0.9686,0.9941,1.0,0.9989,0.9968,0.981,0.0
I,LGB,val,23287,108675,683.86,,0.997,0.9941,0.9941,1.0,0.9998,0.997,0.994,0.0
I,LGB,test,23288,108675,683.86,,0.9933,0.9882,0.9853,1.0,0.9991,0.9926,0.9866,0.0
