stratum,model,split,n_samples,n_train,elapsed_train_s,latency_ms_per_email,f1_macro,precision,recall,roc_auc,pr_auc,balanced_acc,mcc,fpr_at_95tpr
II,LR,val,1177,5492,4.93,,0.9963,0.9961,0.9987,1.0,1.0,0.9957,0.9925,0.0
II,LR,test,1177,5492,4.93,,0.9981,0.9987,0.9987,1.0,1.0,0.9981,0.9963,0.0
II,SVM,val,1177,5492,0.55,,0.9963,0.9974,0.9974,1.0,1.0,0.9963,0.9925,0.0
II,SVM,test,1177,5492,0.55,,0.9991,0.9987,1.0,1.0,1.0,0.9988,0.9981,0.0
II,RF,val,1177,5492,0.41,,0.9878,0.9845,0.9987,0.9987,0.9992,0.9849,0.9758,0.0048
II,RF,test,1177,5492,0.41,,0.9907,0.9883,0.9987,0.9992,0.9995,0.9885,0.9814,0.0024
II,XGB,val,1177,5492,112.69,,0.9953,0.9948,0.9987,0.9998,0.9999,0.9945,0.9907,0.0024
II,XGB,test,1177,5492,112.69,,0.9944,0.9961,0.9961,0.9998,0.9999,0.9944,0.9888,0.0
II,LGB,val,1177,5492,42.03,,0.9944,0.9922,1.0,0.9998,0.9999,0.9928,0.9888,0.0024
II,LGB,test,1177,5492,42.03,,0.9944,0.9961,0.9961,0.9998,0.9999,0.9944,0.9888,0.0024
