stratum,model,split,n_samples,n_train,elapsed_train_s,latency_ms_per_email,f1_macro,precision,recall,roc_auc,pr_auc,balanced_acc,mcc,fpr_at_95tpr
III,LR,val,2003,9349,2.55,,0.986,0.9843,0.9882,0.9989,0.9989,0.986,0.972,0.004
III,LR,test,2004,9349,2.55,,0.989,0.994,0.9842,0.9993,0.9993,0.9891,0.9781,0.003
III,SVM,val,2003,9349,1.13,,0.9875,0.9862,0.9891,0.999,0.999,0.9875,0.975,0.003
III,SVM,test,2004,9349,1.13,,0.99,0.9901,0.9901,0.9994,0.9995,0.99,0.98,0.002
III,RF,val,2003,9349,1.25,,0.972,0.9714,0.9733,0.9969,0.9971,0.972,0.9441,0.0091
III,RF,test,2004,9349,1.25,,0.9681,0.9657,0.9714,0.9968,0.997,0.968,0.9361,0.0202
III,XGB,val,2003,9349,262.83,,0.9875,0.9901,0.9852,0.9989,0.9989,0.9875,0.975,0.002
III,XGB,test,2004,9349,262.83,,0.9855,0.9862,0.9852,0.9992,0.9992,0.9855,0.9711,0.001
III,LGB,val,2003,9349,121.87,,0.99,0.9921,0.9882,0.9993,0.9993,0.99,0.98,0.001
III,LGB,test,2004,9349,121.87,,0.989,0.9911,0.9872,0.9995,0.9995,0.989,0.978,0.0
