train_config,model,seed,eval_stratum,eval_type,n_samples,n_phishing,threshold,f1_macro,precision,recall,roc_auc,pr_auc,balanced_accuracy,mcc,fpr_at_95tpr,youdens_j,latency_p50_ms,latency_p95_ms,latency_p99_ms,emails_per_sec,privacy_tier
pooled,qlora_llama3_8b,42,pooled,matched,26468,2117,0.5454545454545455,0.96222117929583,0.9181609195402299,0.9433160132262636,0.9983518963826685,0.9830534930430131,0.9680031259100805,0.9245435500149701,0.008952404418709705,0.9619072676032099,76.1990612372756,82.20008499920368,84.80541218072176,13.12,tier_i
pooled,qlora_llama3_8b,42,stratum_i,cross,23288,341,0.5454545454545455,0.9281049867917808,0.7643020594965675,0.9794721407624634,0.9992658717455127,0.981839136450976,0.9874917682938129,0.8630661944566027,0.0012202030766549005,0.9816458351624239,76.1990612372756,82.20008499920368,84.80541218072176,13.12,tier_i
pooled,qlora_llama3_8b,42,stratum_ii,cross,1177,762,0.5454545454545455,0.9466801291476791,1.0,0.9225721784776902,0.9991272175315435,0.9995401482379469,0.9612860892388451,0.8987420346627323,0.0,0.9831546659077254,76.1990612372756,82.20008499920368,84.80541218072176,13.12,tier_i
pooled,qlora_llama3_8b,42,stratum_iii,cross,2004,1014,0.5454545454545455,0.9396164131675286,0.9433962264150944,0.9368836291913215,0.9867840137070907,0.9852433996772392,0.939653935807782,0.8792557586044659,0.06464646464646465,0.8909270216962525,76.1990612372756,82.20008499920368,84.80541218072176,13.12,tier_i
pooled,qlora_llama3_8b,123,pooled,matched,26468,2117,0.16161616161616163,0.8543746093900269,0.589041095890411,0.995276334435522,0.9971422802946057,0.9684808868333087,0.9674546018611021,0.741816368187443,0.013100078025543098,0.9532014730170376,76.39226131141186,78.0316143296659,79.40595794469118,13.09,tier_i
pooled,qlora_llama3_8b,123,stratum_i,cross,23288,341,0.16161616161616163,0.679219978965252,0.23706293706293707,0.9941348973607038,0.9977942925218344,0.9382424505575291,0.9732952780262358,0.4736189657109431,0.0036170305486555978,0.9624764550519129,76.39226131141186,78.0316143296659,79.40595794469118,13.09,tier_i
pooled,qlora_llama3_8b,123,stratum_ii,cross,1177,762,0.16161616161616163,0.9897014313952425,0.9857697283311773,1.0,0.9997960345318281,0.9998877319434433,0.9867469879518072,0.9796126235193908,0.0,0.9846820352275242,76.39226131141186,78.0316143296659,79.40595794469118,13.09,tier_i
pooled,qlora_llama3_8b,123,stratum_iii,cross,2004,1014,0.16161616161616163,0.8029899759157402,0.728253055355859,0.9990138067061144,0.9821205148128225,0.9782314580756065,0.8085978124439663,0.6696773515390557,0.0696969696969697,0.8872452333990796,76.39226131141186,78.0316143296659,79.40595794469118,13.09,tier_i
pooled,qlora_llama3_8b,456,pooled,matched,26468,2117,0.08080808080808081,0.9389858667425185,0.8122800156433321,0.9811053377420879,0.998191531127765,0.9837689290206185,0.9806968107954002,0.8827868028120377,0.005584986242864769,0.9613936215908004,74.27400350570679,78.11334375292063,80.57819154113531,13.46,tier_i
pooled,qlora_llama3_8b,456,stratum_i,cross,23288,341,0.08080808080808081,0.8833236659290502,0.634469696969697,0.9824046920821115,0.9984337873056197,0.9848715765117888,0.9869970032947273,0.7859471467818347,8.715736261820717e-05,0.9789183975773832,74.27400350570679,78.11334375292063,80.57819154113531,13.46,tier_i
pooled,qlora_llama3_8b,456,stratum_ii,cross,1177,762,0.08080808080808081,0.9888703973372166,0.996031746031746,0.9881889763779528,0.999430794042311,0.9996929544819058,0.9904800303576511,0.9778019837541505,0.0024096385542168677,0.9835847326313126,74.27400350570679,78.11334375292063,80.57819154113531,13.46,tier_i
pooled,qlora_llama3_8b,456,stratum_iii,cross,2004,1014,0.08080808080808081,0.8691555105656079,0.8038585209003215,0.9861932938856016,0.9791046560277329,0.9765272416777566,0.8698643237104775,0.7622405106238951,0.08080808080808081,0.8774311158926543,74.27400350570679,78.11334375292063,80.57819154113531,13.46,tier_i
